year,YLL,YLD,DALY,YLL_rate,YLD_rate,DALY_rate,std_YLL_rate,std_YLD_rate,std_DALY_rate,cancer_1,crude_rate,pop,case,stdrate
2007,986664.7236,4962.282389,991627.006,145.2754281,0.730640998,146.0060691,166.2011725,0.849745183,167.0509177,Pancreatic cancer,7.64,679168.347,51888.46171,6.713651414
2008,1015900.608,5270.809835,1021171.418,148.5971788,0.770968602,149.3681474,165.6715024,0.872024402,166.5435268,Pancreatic cancer,8.1,683660.764,55376.52188,6.646108805
2009,958828.9398,5609.548864,964438.4887,139.3019861,0.814974669,140.1169608,151.7034839,0.897442774,152.6009267,Pancreatic cancer,7.45,688309.5975,51279.06501,6.260272892
2010,993745.738,5980.729104,999726.4671,143.3985143,0.863025254,144.2615396,152.9181571,0.924660237,153.8428173,Pancreatic cancer,7.22,692995.8395,50034.29961,6.210178364
2011,987863.6865,6363.428696,994227.1152,141.6140519,0.912221933,142.5262738,147.6729183,0.951214172,148.6241325,Pancreatic cancer,7.16,697574.6215,49946.3429,6.02888729
2012,995472.7396,6757.206368,1002229.946,141.7191646,0.961980779,142.6811454,144.4693282,0.975599965,145.4449282,Pancreatic cancer,7.01,702426.339,49240.08636,5.862103206
2013,1004929.141,7073.895752,1012003.037,142.0807575,1.000134662,143.0808922,140.9799718,0.984389004,141.9643608,Pancreatic cancer,6.99,707294.3295,49439.87363,5.700313503
2014,996195.978,7568.477322,1003764.455,139.9343909,1.063134451,140.9975254,135.7317495,1.015657258,136.7474068,Pancreatic cancer,6.79,711902.179,48338.15795,5.432859564
2015,1023258.648,8138.966216,1031397.614,142.8770841,1.136439709,144.0135238,135.489676,1.053074039,136.54275,Pancreatic cancer,6.99,716181.083,50061.0577,5.435075144
2016,1058107.086,8605.350956,1066712.437,146.9110474,1.194795063,148.1058425,135.4797202,1.075277563,136.5549978,Pancreatic cancer,7.05,720236.568,50776.67804,5.386632165
2017,1102140.873,8779.178089,1110920.051,152.1613454,1.212051546,153.3733969,136.104065,1.064499746,137.1685647,Pancreatic cancer,7.23,724323.8225,52368.61237,5.454178206
2018,1122669.633,9236.08307,1131905.716,154.3120488,1.269508731,155.5815575,134.9926997,1.081215639,136.0739153,Pancreatic cancer,7.31,727532.0635,53182.59384,5.432051466
2019,1159118.151,9627.77144,1168745.923,158.8470834,1.319402523,160.166486,135.0687624,1.091881112,136.1606435,Pancreatic cancer,7.493215416,729706.9145,54678.51101,5.403619463
2020,1190866.532,10022.79,1200889.322,162.9271226,1.371257223,164.2983798,134.9167606,1.102651793,136.0194124,Pancreatic cancer,7.640896964,730919.7595,55848.82571,5.387998607
2021,1221550.748,10417.52449,1231968.272,167.1119588,1.425149898,168.5371087,134.7649298,1.11352872,135.8784585,Pancreatic cancer,7.791489124,730977.4575,56954.0291,5.372422908
2022,1252231.769,10820.9455,1263052.715,171.404284,1.481160645,172.8854446,134.6132699,1.12451294,135.7377828,Pancreatic cancer,7.945049259,730572.037,58044.30821,5.356892235
2023,1283569.055,11238.98795,1294808.043,175.8068589,1.539372706,177.3462316,134.4617807,1.135605513,135.5973862,Pancreatic cancer,8.101635866,730101.8075,59150.18989,5.341406458
2024,1315424.329,11670.81845,1327095.148,180.3225154,1.599872598,181.922388,134.3104619,1.146807506,135.4572694,Pancreatic cancer,8.261308591,729484.239,60264.94411,5.325965448
2025,1347770.811,12116.54963,1359887.361,184.954158,1.662750236,186.6169083,134.1593134,1.158119999,135.3174334,Pancreatic cancer,8.424128258,728705.332,61387.07179,5.310569075
2026,1380583.113,12576.30182,1393159.415,189.7047659,1.728099068,191.432865,134.0083351,1.169544083,135.1778791,Pancreatic cancer,8.590156889,727753.521,62515.16922,5.29521721
2027,1413869.701,13050.50321,1426920.204,194.5773947,1.796016218,196.3734109,133.8575266,1.181080857,135.0386075,Pancreatic cancer,8.759457729,726636.156,63649.38693,5.279909725
2028,1447629.623,13539.50563,1461169.128,199.5751785,1.866602624,201.4417811,133.7068879,1.192731434,134.8996193,Pancreatic cancer,8.932095269,725355.5445,64789.44827,5.26464649
2029,1481872.518,14043.7686,1495916.286,204.7013321,1.939963193,206.6412952,133.5564186,1.204496937,134.7609156,Pancreatic cancer,9.108135271,723919.333,65935.5521,5.249427379
2030,1516611.583,14563.79863,1531175.382,209.9591525,2.016206953,211.9753595,133.4061187,1.216378498,134.6224972,Pancreatic cancer,9.287644793,722336.495,67088.04787,5.234252263
2031,1551856.23,15100.08029,1566956.31,215.3520218,2.095447218,217.447469,133.255988,1.228377263,134.4843652,Pancreatic cancer,9.470692214,720613.7265,68247.10809,5.219121016
2032,1587630.059,15653.25143,1603283.311,220.8834087,2.177801758,223.0612105,133.1060262,1.240494388,134.3465206,Pancreatic cancer,9.657347262,718763.835,69413.51954,5.20403351
2033,1623945.319,16223.85759,1640169.177,226.5568711,2.263392966,228.8202641,132.9562331,1.25273104,134.2089642,Pancreatic cancer,9.847681039,716793.6735,70587.55467,5.18898962
2034,1660778.825,16812.10131,1677590.926,232.3760582,2.352348051,234.7284063,132.8066087,1.265088399,134.0716971,Pancreatic cancer,10.04176605,714694.4645,71767.9461,5.173989219
2035,1698158.199,17418.70329,1715576.903,238.3447131,2.444799218,240.7895123,132.6571526,1.277567654,133.9347203,Pancreatic cancer,10.23967622,712479.911,72955.63602,5.159032181
2007,296325.7489,38661.89189,334987.6407,43.63067716,5.692534415,49.32321158,50.8488212,6.743116843,57.59193805,Prostate cancer,3.74,679168.347,25400.89618,3.10672765
2008,290666.2131,42151.45102,332817.6641,42.51614666,6.1655507,48.68169736,48.32946854,7.077205506,55.40667405,Prostate cancer,4.07,683660.764,27824.99309,3.052801657
2009,321806.1317,45743.49037,367549.6221,46.75310832,6.645772561,53.39888088,51.68537088,7.398972691,59.08434357,Prostate cancer,4.19,688309.5975,28840.17214,3.256617285
2010,322022.0316,49344.47012,371366.5018,46.46810461,7.120456907,53.58856152,50.07695617,7.689628868,57.76658503,Prostate cancer,3.98,692995.8395,27581.23441,3.177016097
2011,330123.0437,53171.3465,383294.3902,47.32440567,7.622316647,54.94672232,49.57860291,7.99157302,57.57017593,Prostate cancer,3.96,697574.6215,27623.95501,3.109851053
2012,340916.1292,57634.31651,398550.4457,48.53407543,8.205033512,56.73910894,49.37209971,8.346928662,57.71902837,Prostate cancer,3.93,702426.339,27605.35512,3.042524841
2013,345188.4995,62023.32199,407211.8215,48.80408129,8.769096457,57.57317775,48.36573185,8.644002413,57.00973426,Prostate cancer,4.02,707294.3295,28433.23205,3.000888691
2014,366398.8884,67218.32295,433617.2113,51.46758911,9.442072933,60.90966204,49.60895905,9.035136054,58.64409511,Prostate cancer,4.24,711902.179,30184.65239,3.037247886
2015,394487.1167,72888.54235,467375.659,55.08203526,10.17739006,65.25942532,51.55600684,9.449144556,61.00515139,Prostate cancer,4.58,716181.083,32801.0936,3.14132934
2016,419849.8472,78420.10751,498269.9547,58.29332553,10.88810413,69.18142966,52.99789756,9.804533117,62.80243068,Prostate cancer,4.85,720236.568,34931.47355,3.270203481
2017,435043.1287,83846.2727,518889.4014,60.0619661,11.5757994,71.6377655,53.1228118,10.09889991,63.22171171,Prostate cancer,4.83,724323.8225,34984.84063,3.241515365
2018,458501.5856,90940.53993,549442.1255,63.02149535,12.49986695,75.5213623,53.90268217,10.47243953,64.37512171,Prostate cancer,5.07,727532.0635,36885.87562,3.336939968
2019,486351.5812,97839.53909,584191.1203,66.65026349,13.40805975,80.05832324,55.54686062,10.84271038,66.389571,Prostate cancer,5.387567584,729706.9145,39313.45318,3.420401699
2020,512088.5194,105122.6222,617211.1417,70.06083948,14.38223839,84.44307787,56.70911748,11.22607278,67.93519027,Prostate cancer,5.643745834,730919.7595,41251.25348,3.496589273
2021,538335.2113,112769.3334,651104.5447,73.64593884,15.42719714,89.07313598,57.89569329,11.62298961,69.51868291,Prostate cancer,5.912105331,730977.4575,43216.15723,3.574473884
2022,565568.6321,120895.6351,686464.2673,77.41449214,16.54807863,93.96257076,59.10709689,12.03394011,71.141037,Prostate cancer,6.193225293,730572.037,45245.97218,3.654093332
2023,594126.8215,129595.9846,723722.8061,81.37588695,17.7503991,99.12628605,60.34384778,12.45942046,72.80326824,Prostate cancer,6.487712479,730101.8075,47366.90607,3.735486259
2024,624000.7539,138894.3506,762895.1045,85.53999121,19.0400756,104.5800668,61.60647632,12.89994438,74.5064207,Prostate cancer,6.796202498,729484.239,49577.22607,3.81869217
2025,655231.269,148826.8063,804058.0753,89.9171778,20.4234551,110.3406329,62.89552396,13.35604378,76.25156774,Prostate cancer,7.119361184,728705.332,51879.16455,3.903751446
2026,687860.6232,159431.4796,847292.1028,94.51835042,21.90734569,116.4256961,64.21154351,13.82826934,78.03981285,Prostate cancer,7.45788603,727753.521,54275.02818,3.990705371
2027,721949.1399,170752.5945,892701.7344,99.3549707,23.49905012,122.8540208,65.55509932,14.31719124,79.87229056,Prostate cancer,7.812507695,726636.156,56768.5056,4.079596147
2028,757554.7067,182836.0327,940390.7394,104.4390868,25.20640175,129.6454885,66.92676755,14.8233998,81.75016736,Prostate cancer,8.183991582,725355.5445,59363.0367,4.170466917
2029,794742.9918,195731.8836,990474.8754,109.7833634,27.03780306,136.8211664,68.32713643,15.34750623,83.67464266,Prostate cancer,8.573139486,723919.333,62062.61418,4.263361783
2030,833584.3559,209493.9591,1043078.315,115.4011131,29.00226702,144.4033802,69.75680649,15.89014332,85.64694981,Prostate cancer,8.980791332,722336.495,64871.53333,4.358325831
2031,874150.0657,224179.0495,1098329.115,121.3063301,31.10946146,152.4157916,71.21639082,16.45196627,87.66835708,Prostate cancer,9.407826978,720613.7265,67794.09257,4.455405152
2032,916522.5346,239849.7426,1156372.277,127.5137243,33.36975664,160.8834809,72.70651534,17.03365342,89.74016875,Prostate cancer,9.855168122,718763.835,70835.38434,4.554646861
2033,960781.3403,256571.1078,1217352.448,134.0387584,35.79427627,169.8330347,74.22781907,17.6359071,91.86372617,Prostate cancer,10.32378029,716793.6735,74000.20398,4.656099125
2034,1006987.967,274406.5986,1281394.565,140.8976866,38.39495228,179.2926389,75.78095441,18.25945449,94.0404089,Prostate cancer,10.81467491,714694.4645,77291.88294,4.759811183
2035,1055236.858,293431.884,1348668.742,148.1075946,41.18458352,189.2921781,77.3665874,18.90504845,96.27163584,Prostate cancer,11.32891152,712479.911,80716.21871,4.86583337
2007,4091016.349,65716.18535,4156732.534,602.3567451,9.675978811,612.0327239,692.3867968,11.21402926,703.600826,Gastric cancer,32.51,679168.347,220797.6296,28.56921256
2008,4389873.974,68641.60112,4458515.575,642.1129024,10.04030138,652.1532038,716.5909169,11.32532496,727.9162418,Gastric cancer,35.76,683660.764,244477.0892,29.33626178
2009,4482880.283,72227.83603,4555108.119,651.2883591,10.49350994,661.781869,710.4196583,11.53789038,721.9575486,Gastric cancer,34.64,688309.5975,238430.4446,29.23934685
2010,4844909.332,76212.39631,4921121.728,699.125313,10.99752581,710.1228388,746.3148009,11.77574946,758.0905503,Gastric cancer,35.86,692995.8395,248508.308,30.81824238
2011,4734827.072,79443.94261,4814271.015,678.7556379,11.38859416,690.1442321,708.0174147,11.87641824,719.8938329,Gastric cancer,34.65,697574.6215,241709.6063,29.24741135
2012,4481404.336,83839.45397,4565243.79,637.9892221,11.93569337,649.9249155,649.5778549,12.11244283,661.6902977,Gastric cancer,32.42,702426.339,227726.6191,27.08967082
2013,4562249.681,87878.25397,4650127.935,645.0284543,12.42456645,657.4530208,639.1792254,12.24774299,651.4269683,Gastric cancer,32.86,707294.3295,232416.9167,26.71631704
2014,4341187.898,95631.41807,4436819.316,609.8011814,13.43322452,623.2344059,589.9093433,12.85715651,602.7664998,Gastric cancer,30.92,711902.179,220120.1537,24.58173168
2015,4264094.41,104778.4544,4368872.865,595.3933316,14.63016225,610.0234939,561.0582987,13.57084425,574.6291429,Gastric cancer,30.59,716181.083,219079.7933,23.55980019
2016,4169495.489,111938.4026,4281433.892,578.9063864,15.54189381,594.4482802,532.126058,13.99691668,546.1229747,Gastric cancer,29.63,720236.568,213406.0951,22.40222087
2017,4133232.117,114830.9458,4248063.063,570.6331876,15.85353708,586.4867247,506.7629403,13.96064842,520.7235887,Gastric cancer,28.72,724323.8225,208025.8018,21.43488139
2018,3902660.999,122026.9456,4024687.945,536.4246052,16.77272407,553.1973293,465.6335555,14.37103899,480.0045945,Gastric cancer,27.18,727532.0635,197743.2149,19.91001732
2019,3851125.725,128287.6208,3979413.345,527.7633592,17.58070511,545.3440644,447.2854583,14.6692725,461.9547308,Gastric cancer,26.30086951,729706.9145,191919.2634,19.09751076
2020,3741842.812,134691.0315,3876533.844,511.936196,18.42760846,530.3638044,422.7965102,14.97369508,437.7702053,Gastric cancer,25.31780745,730919.7595,185052.8573,18.12476074
2021,3629914.726,141190.5555,3771105.281,496.5836755,19.31530912,515.8989846,399.6483358,15.28443515,414.932771,Gastric cancer,24.37148984,730977.4575,178150.0968,17.20155867
2022,3519103.869,147909.9516,3667013.821,481.6915638,20.24577237,501.9373361,377.7675276,15.60162382,393.3691514,Gastric cancer,23.46054326,730572.037,171396.1688,16.32538078
2023,3411371.882,154935.3295,3566307.211,467.2460535,21.2210582,488.4671117,357.084697,15.92539492,373.0100919,Gastric cancer,22.58364564,730101.8075,164883.605,15.49383186
2024,3306268.783,162261.556,3468530.339,453.2337514,22.24332581,475.4770773,337.5342545,16.25588505,353.7901396,Gastric cancer,21.7395243,729484.239,158586.4034,14.70463867
2025,3203692.263,169896.4707,3373588.734,439.6416662,23.31483842,462.9565046,319.0542018,16.59323364,335.6474355,Gastric cancer,20.92695414,728705.332,152495.8306,13.9556438
2026,3103557.257,177848.1746,3281405.432,426.4571957,24.43796828,450.8951639,301.5859349,16.93758302,318.5235179,Gastric cancer,20.14475587,727753.521,146604.1701,13.2447997
2027,3005862.096,186129.3185,3191991.415,413.6681159,25.61520191,439.2833178,285.0740582,17.28907847,302.3631367,Gastric cancer,19.39179425,726636.156,140907.7883,12.57016313
2028,2910580.296,194751.7664,3105332.063,401.2625696,26.84914562,428.1117152,269.4662094,17.6478683,287.1140777,Gastric cancer,18.6669765,725355.5445,135401.949,11.92988981
2029,2817704.377,203729.2246,3021433.602,389.2290547,28.14253126,417.371586,254.7128927,18.01410388,272.7269966,Gastric cancer,17.96925065,723919.333,130082.8795,11.32222944
2030,2727227.771,213076.4249,2940304.196,377.5564145,29.49822228,407.0546368,240.7673224,18.38793973,259.1552621,Gastric cancer,17.29760409,722336.495,124946.9071,10.74552082
2031,2639131.226,222808.1441,2861939.37,366.2338266,30.91922009,397.1530467,227.5852742,18.76953356,246.3548078,Gastric cancer,16.65106203,720613.7265,119989.8386,10.19818741
2032,2553414.226,232941.8041,2786356.03,355.2507933,32.40867066,387.6594639,215.1249452,19.15904638,234.2839916,Gastric cancer,16.02868613,718763.835,115208.3991,9.678732958
2033,2470050.438,243493.89,2713544.328,344.5971315,33.96987152,378.567003,203.3468212,19.55664253,222.9034637,Gastric cancer,15.42957311,716793.6735,110598.2039,9.185737414
2034,2388958.899,254476.1054,2643435.005,334.2629638,35.60627905,369.8692429,192.2135512,19.96248975,212.176041,Gastric cancer,14.85285348,714694.4645,106152.5216,8.71785307
2035,2310135.664,265908.3048,2576043.969,324.2387088,37.32151612,361.5602249,181.6898296,20.37675927,202.0665888,Gastric cancer,14.2976902,712479.911,101868.1704,8.273800863
